name	team	rush_att	rush_yds	rush_tds	rec_att	rec_yds	rec_tds	fumbles	fpts	pos
LaMichael James	MIA	33.9	139.5	0.9	11.0	74.8	0.4	0.9	27.0	RB
James Develin	NE	6.9	14.5	0.7	15.9	122.0	1.4	0.0	26.3	RB
Antone Smith	ATL	23.7	120.0	0.8	7.4	65.5	0.4	0.2	25.4	RB
Shonn Greene	FA	32.9	127.3	1.1	6.5	55.0	0.1	0.0	25.3	RB
Bobby Rainey	TB	30.2	128.1	0.8	10.0	78.6	0.1	0.5	25.3	RB
Bruce Miller	SF	12.9	38.3	0.3	15.5	149.6	1.0	0.7	25.0	RB
Zach Line	MIN	17.7	88.0	0.7	12.1	97.0	0.3	0.1	24.3	RB
Chris Polk	HOU	32.3	142.2	1.0	4.8	39.9	0.1	0.3	24.2	RB
Jay Ajayi	MIA	31.4	129.0	0.7	9.1	66.9	0.1	0.1	24.2	RB
Matt Asiata	MIN	18.0	77.1	0.8	12.0	90.1	0.5	0.2	24.1	RB
Kendall Hunter	SF	29.8	128.8	0.7	7.4	57.4	0.1	0.1	23.1	RB
Austin Johnson	NO	12.0	36.5	0.2	10.8	91.4	1.4	0.1	22.1	RB
Jeremy Langford	CHI	40.6	162.5	0.8	1.8	14.5	0.0	0.4	21.9	RB
Dri Archer	PIT	18.0	66.1	0.2	12.9	101.8	0.5	0.3	20.8	RB
John Kuhn	GB	20.8	76.9	1.1	8.5	58.4	0.2	0.4	20.4	RB
Derrick Coleman	SEA	1.5	2.4	0.0	7.3	84.7	1.9	0.0	20.1	RB
KaDeem Carey	CHI	23.0	101.5	0.5	6.9	59.5	0.2	0.1	20.1	RB
Anthony Dixon	BUF	26.0	101.0	1.1	3.5	27.3	0.1	0.2	19.3	RB
Stepfan Taylor	ARI	28.1	104.6	0.2	7.9	64.2	0.1	0.0	18.8	RB
Christine Michael	SEA	28.9	131.2	0.5	3.1	25.0	0.1	0.4	18.3	RB
Zac Stacy	NYJ	34.0	137.5	0.5	3.1	22.6	0.1	0.7	18.2	RB
Patrick DiMarco	ATL	3.2	12.4	0.0	12.6	94.7	0.9	0.0	16.4	RB
Anthony Sherman	KC	4.6	20.1	0.2	10.2	79.9	0.9	0.2	16.1	RB
Kyle Juszczyk	BAL	0.8	2.0	0.0	19.6	148.7	0.6	1.7	15.0	RB
Jerome Felton	BUF	14.1	64.7	0.4	7.1	49.3	0.2	0.1	15.0	RB
Storm Johnson	JAC	23.3	79.5	0.4	5.5	34.4	0.1	0.0	14.5	RB
Tommy Bohanon	NYJ	10.4	39.3	0.2	9.7	83.5	0.2	0.0	14.4	RB
Vick Ballard	IND	16.2	67.3	0.5	5.3	41.7	0.1	0.1	14.4	RB
Jalston Fowler	TEN	12.8	49.7	0.4	6.5	57.2	0.3	0.1	14.2	RB
Tyler Clutts	DAL	8.5	24.8	0.2	6.4	25.0	1.6	0.6	14.0	RB
Michael Dyer	OAK	18.5	73.1	0.4	4.3	34.5	0.1	0.3	13.3	RB
Juwan Thompson	DEN	16.0	72.2	0.7	2.8	19.4	0.0	0.1	13.3	RB
Robert Hughes	ARI	17.8	55.7	0.6	3.4	29.9	0.2	0.3	12.9	RB
Malcolm Johnson	CLE	10.4	40.6	0.2	7.5	61.1	0.2	0.0	12.6	RB
Travaris Cadet	NE	9.0	41.0	0.0	8.1	63.7	0.3	0.1	12.3	RB
James Casey	DEN	0.2	0.2	0.0	8.7	78.2	0.7	0.1	12.0	RB
Michael Burton	DET	14.1	52.3	0.3	5.6	45.3	0.1	0.1	11.8	RB
Ryan Hewitt	CIN	8.2	26.2	0.2	6.7	57.7	0.3	0.1	11.4	RB
Trent Richardson	FA	19.0	72.5	0.5	1.5	11.0	0.0	0.0	11.4	RB
Jay Prosch	HOU	10.6	38.6	0.2	5.4	54.0	0.1	0.1	11.2	RB
Chris Thompson	WAS	8.6	33.3	0.2	6.6	53.1	0.2	0.2	10.5	RB
Henry Hynoski	NYG	16.7	56.9	0.4	3.3	21.3	0.0	0.1	10.3	RB
Fitzgerald Toussaint	BAL	10.7	42.9	0.3	4.0	33.1	0.2	0.1	10.2	RB
Daryl Richardson	NYJ	12.9	60.0	0.3	1.9	17.6	0.0	0.1	9.4	RB
Will Johnson	FA	2.0	4.9	0.0	9.1	68.2	0.3	0.1	9.3	RB
Taiwan Jones	OAK	9.1	35.2	0.2	4.3	35.7	0.1	0.0	9.3	RB
Josh Harris	PIT	15.6	60.2	0.4	1.6	10.5	0.0	0.2	9.1	RB
Marion Grice	ARI	9.3	37.0	0.3	4.6	31.5	0.1	0.0	9.0	RB
Jorvorskie Lane	TB	6.7	35.4	0.2	4.9	34.7	0.1	0.1	8.9	RB
Cory Harkey	STL	0.0	0.0	0.0	7.4	63.1	0.4	0.1	8.3	RB
Rex Burkhead	CIN	4.8	18.7	0.2	5.8	47.2	0.1	0.1	8.3	RB
DuJuan Harris	MIN	8.0	28.7	0.1	3.8	36.5	0.1	0.0	7.8	RB
Jordan Todman	CAR	8.0	37.6	0.2	2.7	19.3	0.1	0.1	7.5	RB
Bryce Brown	BUF	10.5	40.1	0.1	2.8	26.3	0.0	0.2	7.1	RB
Trey Watts	STL	5.8	24.1	0.1	3.9	33.0	0.1	0.0	6.9	RB
Tim Hightower	NO	8.1	30.2	0.2	3.1	22.5	0.1	0.0	6.8	RB
Charcandrick West	KC	9.3	35.8	0.3	2.1	13.8	0.0	0.1	6.7	RB
Zurlon Tipton	IND	7.3	23.5	0.2	2.7	26.7	0.2	0.1	6.6	RB
Zach Zenner	DET	12.3	48.5	0.2	0.3	2.8	0.0	0.1	6.1	RB
Collin Mooney	ATL	2.9	11.1	0.0	4.6	35.7	0.2	0.0	6.0	RB
Donald Brown	SD	5.9	22.1	0.1	3.2	24.8	0.1	0.0	5.8	RB
Kerwynn Williams	ARI	7.0	27.7	0.1	2.3	16.6	0.0	0.0	5.4	RB
Mike Davis	SF	8.7	32.6	0.1	1.9	15.2	0.0	0.1	5.4	RB
Orleans Darkwa	NYG	4.5	13.5	0.2	2.5	24.7	0.1	0.1	5.1	RB
Ray Agnew	DAL	5.6	23.9	0.3	1.5	10.3	0.0	0.0	5.1	RB
Darrin Reaves	KC	6.8	26.2	0.1	2.0	13.6	0.0	0.0	5.0	RB
Marcus Murphy	NO	4.1	15.9	0.2	2.4	20.0	0.1	0.1	4.9	RB
Jerome Smith	ATL	6.7	26.4	0.2	1.4	10.5	0.0	0.0	4.9	RB
Ronnie Brown	FA	6.0	24.3	0.1	2.4	16.8	0.0	0.0	4.8	RB
Gus Johnson	DAL	4.5	17.5	0.2	2.0	16.7	0.1	0.1	4.8	RB
John Crockett	GB	7.2	26.7	0.2	1.1	9.5	0.0	0.0	4.8	RB
Antonio Andrews	TEN	7.4	27.7	0.2	1.4	9.3	0.0	0.1	4.7	RB
Marcus Thigpen	BUF	2.9	8.8	0.1	4.5	26.2	0.1	0.0	4.7	RB
George Winn	DET	6.4	27.7	0.1	1.5	11.2	0.0	0.0	4.7	RB
John Conner	BUF	1.9	5.6	0.0	2.5	23.1	0.3	0.0	4.6	RB
Rajion Neal	GB	4.1	16.1	0.1	2.0	15.6	0.1	0.1	4.4	RB
Mike James	TB	7.4	27.8	0.2	0.7	2.2	0.0	0.1	4.1	RB
Erik Lorig	FA	3.8	5.1	0.2	4.5	14.2	0.2	0.0	4.0	RB
Kenny Hilliard	HOU	5.7	22.2	0.1	1.0	8.1	0.0	0.1	3.9	RB
Edwin Baker	NO	4.0	16.0	0.0	2.0	20.0	0.0	0.0	3.6	RB
Kiero Small	BAL	3.9	17.5	0.1	1.8	12.7	0.0	0.0	3.5	RB
Cedric Peerman	CIN	2.7	8.4	0.0	2.8	22.1	0.1	0.1	3.4	RB
Jamize Olawale	OAK	1.2	2.5	0.0	2.2	16.6	0.2	0.0	3.4	RB
Senorise Perry	CHI	3.6	11.8	0.1	1.7	9.8	0.1	0.0	3.1	RB
Alfonso Smith	FA	4.0	10.5	0.0	2.5	15.2	0.0	0.0	2.8	RB
Bernard Pierce	JAC	4.2	14.0	0.1	1.0	5.4	0.0	0.0	2.6	RB
Thomas Rawls	SEA	4.5	17.6	0.1	0.0	0.0	0.0	0.1	2.4	RB
Trey Williams	WAS	3.2	12.3	0.1	0.5	5.0	0.0	0.0	2.2	RB
Kenjon Barner	PHI	3.0	10.3	0.1	0.5	3.6	0.0	0.0	1.9	RB
Corey Grant	JAC	3.7	14.3	0.1	0.0	0.0	0.0	0.0	1.8	RB
Dion Lewis	NE	2.6	9.8	0.1	0.4	3.4	0.0	0.0	1.8	RB
Shaun Draughn	CLE	4.5	11.1	0.1	0.5	1.0	0.0	0.0	1.6	RB
Jarryd Hayne	SF	2.1	8.1	0.1	0.0	0.0	0.0	0.0	1.1	RB
Aaron Ripkowski	GB	0.7	3.3	0.0	0.4	3.2	0.0	0.0	0.7	RB
Trey Millard	FA	0.9	3.9	0.0	0.3	2.2	0.0	0.0	0.6	RB
Spencer Ware	KC	0.9	3.9	0.0	0.3	2.0	0.0	0.0	0.6	RB
Jordan Campbell	WAS	0.4	2.1	0.0	0.3	3.3	0.0	0.0	0.5	RB
Nikita Whitlock	NYG	0.6	2.2	0.0	0.3	2.7	0.0	0.0	0.5	RB
Braylon Heard	PIT	0.8	3.0	0.0	0.2	1.5	0.0	0.0	0.5	RB
Malcolm Brown	STL	0.5	1.7	0.0	0.1	0.9	0.0	0.0	0.3	RB
Tony Creecy	NE	0.6	1.8	0.0	0.1	0.5	0.0	0.0	0.2	RB
Roosevelt Nix	PIT	0.1	0.4	0.0	0.1	0.5	0.0	0.0	0.1	RB
Tyler Gaffney	NE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RB
Pierre Thomas	FA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RB
