name	team	pass_att	pass_cmp	pass_yds	pass_tds	pass_ints	rush_att	rush_yds	rush_tds	fumbles	fpts	pos
Luke McCown	NO	9.6	5.7	63.8	0.3	0.2	0.6	1.4	0.0	0.1	3.2	QB
Kellen Clemens	SD	9.9	5.7	62.0	0.3	0.3	0.7	1.1	0.0	0.2	2.8	QB
Brock Osweiler	DEN	6.8	4.0	45.1	0.2	0.1	1.6	3.4	0.0	0.1	2.6	QB
Matt Schaub	BAL	9.5	5.7	59.9	0.2	0.3	1.1	1.1	0.0	0.2	2.3	QB
Matt Moore	MIA	4.9	3.1	36.5	0.2	0.1	0.5	0.0	0.0	0.1	1.9	QB
Taylor Yates	ATL	5.0	3.2	33.5	0.1	0.2	0.5	0.5	0.0	0.1	1.2	QB
Matt McGloin	OAK	3.0	2.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	QB
Tarvaris Jackson	SEA	1.8	1.0	14.5	0.0	0.0	0.3	0.4	0.0	0.0	0.8	QB
Dan Orlovsky	DET	1.7	1.0	12.1	0.0	0.0	0.0	0.1	0.0	0.0	0.6	QB
Bryce Petty	NYJ	0.7	0.4	4.7	0.0	0.0	0.0	0.1	0.0	0.0	0.3	QB
Tom Savage	HOU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Brett Hundley	GB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Garrett Grayson	NO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Tim Tebow	PHI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Joe Webb	CAR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Charlie Whitehurst	TEN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Ricky Stanzi	NYG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Chandler Harnish	ARI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Sean Renfree	ATL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Landry Jones	PIT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Matt Barkley	PHI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Matt Simms	BUF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
Logan Thomas	ARI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	QB
